timestamp_s,y_position_mm,extrusion_steps_s
367910.755212,0.010,0.0
367910.756172,0.010,0.0
367910.757212,0.010,0.0
367910.758204,0.010,0.0
367910.759224,0.010,0.0
367910.760219,0.010,0.0
367910.761220,0.010,0.0
367910.762157,0.010,0.0
367910.763215,0.010,0.0
367910.764164,0.010,0.0
367910.765161,0.010,0.0
367910.766217,0.010,0.0
367910.767259,0.010,0.0
367910.768175,0.010,0.0
367910.769241,0.010,0.0
367910.770214,0.010,0.0
367910.771231,0.010,0.0
367910.772213,0.010,0.0
367910.773238,0.010,0.0
367910.774212,0.010,0.0
367910.775224,0.010,0.0
367910.776212,0.010,0.0
367910.777224,0.010,0.0
367910.778213,0.010,0.0
367910.779223,0.010,0.0
367910.780213,0.010,0.0
367910.781224,0.010,0.0
367910.782213,0.010,0.0
367910.783187,0.010,0.0
367910.784169,0.010,0.0
367910.785185,0.010,0.0
367910.786217,0.010,0.0
367910.787223,0.010,0.0
367910.788168,0.010,0.0
367910.789182,0.010,0.0
367910.790212,0.010,0.0
367910.791216,0.010,0.0
367910.792162,0.010,0.0
367910.793213,0.010,0.0
367910.794214,0.010,0.0
367910.795184,0.010,0.0
367910.796213,0.010,0.0
367910.797223,0.010,0.0
367910.798214,0.010,0.0
367910.799206,0.010,0.0
367910.800214,0.010,0.0
367910.801224,0.010,0.0
367910.802214,0.010,0.0
367910.803217,0.010,0.0
367910.804180,0.010,0.0
367910.805223,0.010,0.0
367910.806213,0.010,0.0
367910.807224,0.010,0.0
367910.808212,0.010,0.0
367910.809246,0.010,0.0
367910.810213,0.010,0.0
367910.811223,0.010,0.0
367910.812212,0.010,0.0
367910.813223,0.010,0.0
367910.814213,0.010,0.0
367910.815223,0.010,0.0
367910.816212,0.010,0.0
367910.817246,0.010,0.0
367910.818212,0.010,0.0
367910.819223,0.010,0.0
367910.820165,0.010,0.0
367910.821224,0.010,0.0
367910.822213,0.010,0.0
367910.823224,0.010,0.0
367910.824212,0.010,0.0
367910.825224,0.010,0.0
367910.826212,0.010,0.0
367910.827222,0.010,0.0
367910.828212,0.010,0.0
367910.829223,0.010,0.0
367910.830213,0.010,0.0
367910.831184,0.010,0.0
367910.832212,0.010,0.0
367910.833180,0.010,0.0
367910.834214,0.010,0.0
367910.835184,0.010,0.0
367910.836213,0.010,0.0
367910.837224,0.010,0.0
367910.838212,0.010,0.0
367910.839223,0.010,0.0
367910.840165,0.010,0.0
367910.841185,0.010,0.0
367910.842212,0.010,0.0
367910.843217,0.010,0.0
367910.844164,0.010,0.0
367910.845217,0.010,0.0
367910.846213,0.010,0.0
367910.847213,0.010,0.0
367910.848162,0.010,0.0
367910.849213,0.010,0.0
367910.850223,0.010,0.0
367910.851212,0.010,0.0
367910.852174,0.010,0.0
367910.853213,0.010,0.0
367910.854172,0.010,0.0
367910.855222,0.010,0.0
367910.856184,0.010,0.0
367910.857217,0.010,0.0
367910.858218,0.010,0.0
367910.859207,0.010,0.0
367910.860181,0.010,0.0
367910.861213,0.010,0.0
367910.862223,0.010,0.0
367910.863212,0.010,0.0
367910.864181,0.010,0.0
367910.865151,0.010,0.0
367910.866171,0.010,0.0
367910.867211,0.010,0.0
367910.868163,0.010,0.0
367910.869207,0.010,0.0
367910.870207,0.010,0.0
367910.871212,0.010,0.0
367910.872163,0.010,0.0
367910.873213,0.010,0.0
367910.874213,0.010,0.0
367910.875212,0.010,0.0
367910.876162,0.010,0.0
367910.877213,0.010,0.0
367910.878212,0.010,0.0
367910.879213,0.010,0.0
367910.880163,0.010,0.0
367910.881165,0.010,0.0
367910.882164,0.010,0.0
367910.883213,0.010,0.0
367910.884165,0.010,0.0
367910.885213,0.010,0.0
367910.886213,0.010,0.0
367910.887212,0.010,0.0
367910.888163,0.010,0.0
367910.889211,0.010,0.0
367910.890165,0.010,0.0
367910.891213,0.010,0.0
367910.892162,0.010,0.0
367910.893213,0.010,0.0
367910.894165,0.010,0.0
367910.895213,0.010,0.0
367910.896163,0.010,0.0
367910.897164,0.010,0.0
367910.898211,0.010,0.0
367910.899213,0.010,0.0
367910.900171,0.010,0.0
367910.901214,0.010,0.0
367910.902213,0.010,0.0
367910.903212,0.010,0.0
367910.904163,0.010,0.0
367910.905213,0.010,0.0
367910.906213,0.010,0.0
367910.907213,0.010,0.0
367910.908161,0.010,0.0
367910.909212,0.010,0.0
367910.910213,0.010,0.0
367910.911213,0.010,0.0
367910.912164,0.010,0.0
367910.913213,0.010,0.0
367910.914213,0.010,0.0
367910.915214,0.010,0.0
367910.916166,0.010,0.0
367910.917213,0.010,0.0
367910.918213,0.010,0.0
367910.919212,0.010,0.0
367910.920162,0.010,0.0
367910.921213,0.010,0.0
367910.922213,0.010,0.0
367910.923213,0.010,0.0
367910.924161,0.010,0.0
367910.925213,0.010,0.0
367910.926212,0.010,0.0
367910.927165,0.010,0.0
367910.928162,0.010,0.0
367910.929165,0.010,0.0
367910.930165,0.010,0.0
367910.931212,0.010,0.0
367910.932166,0.010,0.0
367910.933213,0.010,0.0
367910.934164,0.010,0.0
367910.935165,0.010,0.0
367910.936162,0.010,0.0
367910.937165,0.010,0.0
367910.938212,0.010,0.0
367910.939213,0.010,0.0
367910.940161,0.010,0.0
367910.941214,0.010,0.0
367910.942174,0.010,0.0
367910.943186,0.010,0.0
367910.944237,0.010,0.0
367910.945183,0.010,0.0
367910.946238,0.010,0.0
367910.947177,0.010,0.0
367910.948185,0.010,0.0
367910.949176,0.010,0.0
367910.950223,0.010,0.0
367910.951176,0.010,0.0
367910.952182,0.010,0.0
367910.953213,0.010,0.0
367910.954184,0.010,0.0
367910.955213,0.010,0.0
367910.956181,0.010,0.0
367910.957215,0.010,0.0
367910.958184,0.010,0.0
367910.959213,0.010,0.0
367910.960206,0.010,0.0
367910.961162,0.010,0.0
367910.962169,0.010,0.0
367910.963153,0.010,0.0
367910.964181,0.010,0.0
367910.965207,0.010,0.0
367910.966184,0.010,0.0
367910.967212,0.010,0.0
367910.968182,0.010,0.0
367910.969214,0.010,0.0
367910.970223,0.010,0.0
367910.971214,0.010,0.0
367910.972182,0.010,0.0
367910.973213,0.010,0.0
367910.974183,0.010,0.0
367910.975213,0.010,0.0
367910.976182,0.010,0.0
367910.977212,0.010,0.0
367910.978223,0.010,0.0
367910.979213,0.010,0.0
367910.980193,0.010,0.0
367910.981212,0.010,0.0
367910.982224,0.010,0.0
367910.983213,0.010,0.0
367910.984182,0.010,0.0
367910.985212,0.010,0.0
367910.986249,0.010,0.0
367910.987213,0.010,0.0
367910.988181,0.010,0.0
367910.989214,0.010,0.0
367910.990223,0.010,0.0
367910.991213,0.010,0.0
367910.992182,0.010,0.0
367910.993214,0.010,0.0
367910.994223,0.010,0.0
367910.995212,0.010,0.0
367910.996193,0.010,0.0
367910.997214,0.010,0.0
367910.998217,0.010,0.0
367910.999207,0.010,0.0
367911.000182,0.010,0.0
367911.001213,0.010,0.0
367911.002224,0.010,0.0
367911.003212,0.010,0.0
367911.004181,0.010,0.0
367911.005214,0.010,0.0
367911.006223,0.010,0.0
367911.007213,0.010,0.0
367911.008180,0.010,0.0
367911.009212,0.010,0.0
367911.010223,0.010,0.0
367911.011212,0.010,0.0
367911.012181,0.010,0.0
367911.013214,0.010,0.0
367911.014223,0.010,0.0
367911.015213,0.010,0.0
367911.016182,0.010,0.0
367911.017214,0.010,0.0
367911.018184,0.010,0.0
367911.019213,0.010,0.0
367911.020181,0.010,0.0
367911.021214,0.010,0.0
367911.022224,0.010,0.0
367911.023215,0.010,0.0
367911.024184,0.010,0.0
367911.025213,0.010,0.0
367911.026223,0.010,0.0
367911.027213,0.010,0.0
367911.028181,0.010,0.0
367911.029214,0.010,0.0
367911.030223,0.010,0.0
367911.031214,0.010,0.0
367911.032183,0.010,0.0
367911.033212,0.010,0.0
367911.034222,0.010,0.0
367911.035212,0.010,0.0
367911.036209,0.010,0.0
367911.037322,0.010,0.0
367911.038215,0.010,0.0
367911.039205,0.010,0.0
367911.040182,0.010,0.0
367911.041223,0.010,0.0
367911.042222,0.010,0.0
367911.043224,0.010,0.0
367911.044223,0.010,0.0
367911.045223,0.010,0.0
367911.046246,0.010,0.0
367911.047217,0.010,0.0
367911.048221,0.010,0.0
367911.049217,0.010,0.0
367911.050224,0.010,0.0
367911.051214,0.010,0.0
367911.052182,0.010,0.0
367911.053214,0.010,0.0
367911.054223,0.010,0.0
367911.055213,0.010,0.0
367911.056184,0.010,0.0
367911.057213,0.010,0.0
367911.058223,0.010,0.0
367911.059213,0.010,0.0
367911.060180,0.010,0.0
367911.061213,0.010,0.0
367911.062224,0.010,0.0
367911.063213,0.010,0.0
367911.064182,0.010,0.0
367911.065213,0.010,0.0
367911.066184,0.010,0.0
367911.067213,0.010,0.0
367911.068181,0.010,0.0
367911.069214,0.010,0.0
367911.070166,0.010,0.0
367911.071216,0.010,0.0
367911.072183,0.010,0.0
367911.073213,0.010,0.0
367911.074224,0.010,0.0
367911.075213,0.010,0.0
367911.076182,0.010,0.0
367911.077212,0.010,0.0
367911.078246,0.010,0.0
367911.079213,0.010,0.0
367911.080183,0.010,0.0
367911.081213,0.010,0.0
367911.082223,0.010,0.0
367911.083211,0.010,0.0
367911.084180,0.010,0.0
367911.085213,0.010,0.0
367911.086248,0.010,0.0
367911.087212,0.010,0.0
367911.088181,0.010,0.0
367911.089213,0.010,0.0
367911.090223,0.010,0.0
367911.091213,0.010,0.0
367911.092182,0.010,0.0
367911.093214,0.010,0.0
367911.094224,0.010,0.0
367911.095214,0.010,0.0
367911.096181,0.010,0.0
367911.097213,0.010,0.0
367911.098223,0.010,0.0
367911.099213,0.010,0.0
367911.100182,0.010,0.0
367911.101214,0.010,0.0
367911.102224,0.010,0.0
367911.103212,0.010,0.0
367911.104182,0.010,0.0
367911.105215,0.010,0.0
367911.106224,0.010,0.0
367911.107213,0.010,0.0
367911.108180,0.010,0.0
367911.109214,0.010,0.0
367911.110246,0.010,0.0
367911.111214,0.010,0.0
367911.112182,0.010,0.0
367911.113212,0.010,0.0
367911.114184,0.010,0.0
367911.115213,0.010,0.0
367911.116181,0.010,0.0
367911.117213,0.010,0.0
367911.118184,0.010,0.0
367911.119214,0.010,0.0
367911.120180,0.010,0.0
367911.121213,0.010,0.0
367911.122223,0.010,0.0
367911.123213,0.010,0.0
367911.124182,0.010,0.0
367911.125214,0.010,0.0
367911.126223,0.010,0.0
367911.127213,0.010,0.0
367911.128182,0.010,0.0
367911.129213,0.010,0.0
367911.130185,0.010,0.0
367911.131214,0.010,0.0
367911.132180,0.010,0.0
367911.133213,0.010,0.0
367911.134214,0.010,0.0
367911.135214,0.010,0.0
367911.136171,0.010,0.0
367911.137214,0.010,0.0
367911.138246,0.010,0.0
367911.139213,0.010,0.0
367911.140183,0.010,0.0
367911.141213,0.010,0.0
367911.142246,0.010,0.0
367911.143213,0.010,0.0
367911.144180,0.010,0.0
367911.145213,0.010,0.0
367911.146224,0.010,0.0
367911.147214,0.010,0.0
367911.148181,0.010,0.0
367911.149213,0.010,0.0
367911.150224,0.010,0.0
367911.151213,0.010,0.0
367911.152183,0.010,0.0
367911.153213,0.010,0.0
367911.154223,0.010,0.0
367911.155212,0.010,0.0
367911.156182,0.010,0.0
367911.157214,0.010,0.0
367911.158223,0.010,0.0
367911.159213,0.010,0.0
367911.160181,0.010,0.0
367911.161213,0.010,0.0
367911.162223,0.010,0.0
367911.163212,0.010,0.0
367911.164181,0.010,0.0
367911.165213,0.010,0.0
367911.166185,0.010,0.0
367911.167213,0.010,0.0
367911.168181,0.010,0.0
367911.169213,0.010,0.0
367911.170184,0.010,0.0
367911.171214,0.010,0.0
367911.172182,0.010,0.0
367911.173213,0.010,0.0
367911.174223,0.010,0.0
367911.175177,0.010,0.0
367911.176183,0.010,0.0
367911.177207,0.010,0.0
367911.178217,0.010,0.0
367911.179207,0.010,0.0
367911.180182,0.010,0.0
367911.181214,0.010,0.0
367911.182184,0.010,0.0
